name,BYOD_no_yes_maybe,
SM-A305YN,1,
SM-A305GN,1,
SM-A305G,1,
SM-A205W,1,
SM-A205U,1,
SM-A205G,1,
SM-A205F,1,
SM-A105M,1,
SM-A105G,1,
SM-A105F,1,
SM-A102U,1,
SKY 5.0Pro II,1,
SKW-A0,1,
SKR-A0,1,
SH-M09,1,
SH-M08,1,
S301,,
S3_Pro,1,
S11 Plus,1,
S1,1,
RMX1825,1,
RMX1805,1,
RMX1801,1,
REVVL Plus,1,
REVVL 2 PLUS,1,
REVVL 2,1,
Redmi4A,1,
Redmi Y2,1,
Redmi S2,1,
Redmi Pro,1,
Redmi Note 7S,1,
Redmi Note 7 Pro,1,
Redmi Note 7,1,
Redmi Note 6 Pro,1,
Redmi Note 5A Prime,1,
Redmi Note 5A,1,
Redmi Note 5 Pro,1,
Redmi Note 5 ,1,
Redmi Note 5,1,
Redmi Note 4X ,1,
Redmi Note 4X,1,
Redmi Note 4 ,1,
Redmi Note 4,1,
Redmi Note 3 ,1,
Redmi Note 3,1,
Redmi Note 2 ,1,
Redmi Note 2,1,
Redmi Note,1,
Redmi 7A,1,
Redmi 6A,1,
Redmi 6 Pro,1,
Redmi 6,1,
Redmi 5A,1,
Redmi 5 Plus,1,
Redmi 5 ,1,
Redmi 5,1,
Redmi 4X ,1,
Redmi 4X,1,
Redmi 4A ,1,
Redmi 4A,1,
Redmi 4,1,
Redmi 3S,1,
RCT,2,
Radiology Workstation,0,
R9tm,1,
R9st,1,
R9s Plus,1,
R9m,1,
R7sm,1,
R5,2,
R11t,,
R11 Plus,1,
R11,1,
Quest,,
Quattro II 4G,1,
QTAXIA1,1,
QTASUN1,1,
QS5509A,1,
QLn320-203dpi,0,
Q710PL,1,
Q710AL,1,
Q7,,
Q6055-E,0,
Q6045-E,0,
Q6035-E,0,
Q6,,
Q Stylus+,,
PRO 6 Plus,1,
PRIV,,
Printer Server,0,
Precision 5520,1,
POT-AL00a,1,
POCOPHONE F1,1,
POCO F1,1,
Pixel XL,1,
Pixel 3a XL,1,
Pixel 3a,1,
Pixel 3 XL,1,
Pixel 3,1,
Pixel 2 XL,1,
Pixel 2 Xl,1,
Pixel 2,1,
Pixel,1,
Phone 2,1,
Phone,1,
Phoenix 3,1,
Pharmacy Workstation,0,
PCT-AL10,1,
PCEM00,1,
PC43d Desktop Printer,0,
PBEM00,1,
PBBM00,1,
PBAM00,1,
PB2-690Y,1,
PB2-670M1,1,
PAR-LX9,1,
PAR-AL00,1,
PACS Scan,0,
PACM00,1,
P9_Lite,1,
P9 Plus,1,
P9 Lite,1,
P9,1,
P8_Lite,1,
P8 Lite (2017),1,
P8 Lite,1,
P5532,0,
P5415-E,0,
P3707-PE,0,
P3384,0,
P3374-V,0,
P3367,0,
P3365,0,
P3364-L,0,
P3364,0,
P3354,0,
P3346,0,
P3225-V,0,
P3225-LV,0,
P2a42,1,
P20_Pro,1,
P20_Lite,1,
P20 Pro,1,
P20 lite,1,
P20,1,
P1a41,1,
P10_Plus,1,
P10_Lite,1,
P10 Plus,1,
P10 Lite,1,
P10,1,
P028,1,
P027,1,
P Smart,1,
Overture 2,1,
OPPO R11s,1,
OPPO A83,1,
ONEPLUS A6013,1,
ONEPLUS A6010,1,
ONEPLUS A6003,1,
OnePlus,1,
One_M8,1,
One Touch POP7,1,
One Touch Pop Icon,1,
One Touch Pop 4+,1,
One Touch Pixi Unite,1,
